Serial_Number,Acceleration_m_s2,Status,Production_Order
SN4QHWUYLL,2.8724993403731087,NG,0
SNZZCXBZ5B,0.6718025952295487,OK,1
SNW8MX023R,0.9385090754372636,OK,2
SNQCGWJTD0,3.998422414157335,NG,3
SNPJ1BV3GH,0.9567255839847695,OK,4
SNPSDBFD4T,2.8445572478980887,NG,5
SN19KP6QHP,1.5367328598687666,OK,6
SNYWRTZ104,1.0936680619738177,OK,7
SNQA0GJZAH,2.953298199813763,NG,8
SNZLSH8E3G,0.6561764423545715,OK,9
SNJHM98YZX,0.8948600228613683,OK,10
SN2APCAE1P,0.7800828787720591,OK,11
SN2JQQ1N77,0.8274302382676989,OK,12
SND5YQ4N7G,4.685656176525594,NG,13
SNX3BF33V5,0.6379033450587536,OK,14
SNL308A2NC,0.9540622124490541,OK,15
SNFH2J8ZQ7,1.0846819969512782,OK,16
SN7ZMBCSBB,0.6013662449526772,OK,17
SN3Y78AUB1,0.5532135753532698,OK,18
SN7F7DLSZE,2.811785142278476,NG,19
SN9FXLR8JF,0.6615111229230618,OK,20
SNR4CVU1CU,1.1456997826224513,OK,21
SNV7G8TAL3,0.49946951643060367,OK,22
SN0Y65GR1B,0.8205414105586011,OK,23
SNAME7JURC,1.5638145000213424,OK,24
SNVZ8ZLHV0,0.9239169601358548,OK,25
SN04TTBR8D,0.9737870432914656,OK,26
SN8PWVHGCS,1.1482047487091376,OK,27
SN8MXX5H22,0.6611152803723922,OK,28
SN9W5838EU,0.4755741113763789,OK,29
SNDS354FZ4,0.8529533828488235,OK,30
SN68W7Y8CT,0.8796211485045612,OK,31
SN06CZ7XYB,0.3145367615860517,OK,32
SN2B1S8J41,0.9125215744048334,OK,33
SN0ZNGVAHR,2.9172127946371775,NG,34
SNPMYQ39B7,0.5261155780927973,OK,35
SNYX0XXFQ8,0.9306667545124441,OK,36
SNHEDF75RN,1.0676790981110402,OK,37
SN5USU311Y,0.9760034625590241,OK,38
SNJMAA970A,1.0043018716224672,OK,39
SNREX4CM1R,0.7265599274581097,OK,40
SNX4P3E5EM,0.46174869867782126,OK,41
SNR11W85YK,0.6658560612848261,OK,42
SNE96KU7AE,0.6241828694388126,OK,43
SNDRZRB372,4.005364110131202,NG,44
SNVZM88MCA,1.127981271637979,OK,45
SN8K4NM6BY,0.4064479615507494,OK,46
SNS1H41K19,0.8432750068452173,OK,47
SNGDL40WKJ,0.4809795063446442,OK,48
SNZT7ZY7MN,0.5779859246531687,OK,49
SNY05SV0XN,0.9676222257835525,OK,50
SNUMUMJG3P,0.4430164839902903,OK,51
SN6UREM0WY,1.0202732869108937,OK,52
SNRP6EY4LT,4.15760501125123,NG,53
SNMJKSGNJ2,1.000094121031448,OK,54
SNBE4UHAXS,2.557332028170105,NG,55
SNG0DF6U2K,4.195947057137855,NG,56
SN1UCN3V3H,1.3689483149388684,OK,57
SNACN308F7,1.312563910930066,OK,58
SNWRWLUVTP,0.6762426042448565,OK,59
SNQ6ACRYLM,0.9169881758089704,OK,60
SNK7RHMZ3H,1.1612204056654654,OK,61
SN31H332SJ,3.6757976352544643,NG,62
SN8VN34NFT,0.7179607260635528,OK,63
SNE0BK5E8A,0.5754094057891002,OK,64
SNT7LW10X2,1.060430942887379,OK,65
SNN89AWF3S,1.1392109925843505,OK,66
SNE6ECYKKU,1.3147105503183165,OK,67
SNSWPJANDA,0.29382517296407873,OK,68
SN7936H19C,3.0246049871410237,NG,69
SNMAE55SYQ,4.954922976115363,NG,70
SNWPBL99T5,0.33454083597494705,OK,71
SNQ298ZQ5S,1.1715649864735798,OK,72
SNE4DKSKSV,0.7355202482043824,OK,73
SNZE9FBNLY,0.6437258541989946,OK,74
SNR6LRHDD0,3.7551255337211176,NG,75
SNC7C247UW,0.39638946432935046,OK,76
SNET3XWFAE,1.0472044491795056,OK,77
SNM19P12J1,1.306891099308409,OK,78
SNX5S1AHQX,1.0611728647442724,OK,79
SNP13YPZB1,0.7260473922337578,OK,80
SNPGCYTQ03,0.3385892876703678,OK,81
SNKSX10SNV,0.35012376313912014,OK,82
SN0DKCTX9H,0.40110700932820775,OK,83
SNUF19F8XW,0.7963165168663049,OK,84
SNFFD5L56Z,0.8340200189817815,OK,85
SNJC6Z6FBV,1.0605330532222987,OK,86
SN3LDQF5BQ,0.2611913040550774,OK,87
SNLH1EF1DU,1.19336306911772,OK,88
SNV8VMA1PL,3.8007414422966352,NG,89
SNNC8FKEYK,0.7019491120813596,OK,90
SNBNBVAJSJ,4.562826669165288,NG,91
SNLQZ56EPL,1.1747421925073356,OK,92
SNJ9MAX4HL,0.7099718116287849,OK,93
SNP5WEUP1D,0.7939943301966714,OK,94
SN00THP78Y,0.9150835912363797,OK,95
SNQ80S8BPF,0.5260403282655166,OK,96
SNFCGHQ485,0.7153458262924254,OK,97
SN24828DXB,4.257358602446692,NG,98
SNKEK8N6ZQ,2.7603433948007186,NG,99
SN4HE4DMB2,1.0319321620085713,OK,100
SN612EVLKF,0.4534460746578705,OK,101
SNHY1M1NT0,0.7290258947812578,OK,102
SN8MDEH36J,0.6810818494856585,OK,103
SN4PXLYAW1,0.9275536526824106,OK,104
SNYAQWJJK1,0.9006973968946693,OK,105
SN01LBGT29,3.4691839868759855,NG,106
SN2SZ0GFZ8,1.5397201866259786,OK,107
SN4X13WGSV,0.7127581759567887,OK,108
SNVX3GA7N5,0.6776530741794368,OK,109
SNYU75445R,0.45297509889918325,OK,110
SNUTAPB35D,0.3386458022213389,OK,111
SNAH4C7KKU,0.43390478683526745,OK,112
SN98Y37G4H,0.5843954223670161,OK,113
SNACZYHC83,1.193021928331356,OK,114
SNH97ZP7RD,0.8117491713085577,OK,115
SNWP6TGKG8,0.8579992000858201,OK,116
SNYWUU4TBA,0.7711180075393711,OK,117
SNEVLBCYMV,3.4634397076184045,NG,118
SNE5J9XZSK,1.220621644165353,OK,119
SN5Y7SSPJB,0.20182074911958925,OK,120
SN0JXD149Y,1.1655011946756142,OK,121
SNLFTW9S0M,0.04548846423949804,OK,122
SNYXW26F29,2.5726784508598843,NG,123
SNMGKS1W3B,1.4575722064233245,OK,124
SNA14WLL9Z,1.0041973818594632,OK,125
SNXE8VUS9J,4.108412949779461,NG,126
SN1BJJSA00,1.400583790040892,OK,127
SNC59MUSKM,0.5890811305996568,OK,128
SNRZUH6WSY,0.9301902267395143,OK,129
SNRFH0T0MQ,0.9734351292421679,OK,130
SN117KRGSY,0.6432793597318923,OK,131
SN1WXGPQGJ,0.6697669461512059,OK,132
SNHY4T65TS,4.308511914030715,NG,133
SNP6Z9C1YQ,0.8261944922025692,OK,134
SND4X0NT8R,0.964007481731394,OK,135
SNB95NNT77,0.8369690818743987,OK,136
SN44RK50VE,4.604925928741771,NG,137
SNA5CP5DT0,0.20925581420793582,OK,138
SNAQJQZDMF,0.734524650877149,OK,139
SNZLN90GDH,0.4929742068948062,OK,140
SNV4K91CFE,2.5046997088122764,NG,141
SNEYJVTSZC,0.886075228601697,OK,142
SN7N0JDP9L,0.7653133655127634,OK,143
SNC34JC09M,0.9530837031596213,OK,144
SNJQ0EL9ZQ,4.364813022034186,NG,145
SNHE1TFN3E,0.7818438433081075,OK,146
SNNS74C92N,0.4844915335700895,OK,147
SN8FZUR38N,0.32562272872415576,OK,148
SN02GE6YK7,0.8108330525990385,OK,149
SN56TBPN4M,0.8725600104540623,OK,150
SNB7N2S69Z,0.5091428331440063,OK,151
SNFU5GK793,1.01773004694891,OK,152
SNQ54XDV7D,0.662312934252628,OK,153
SN2SMXSKAX,0.30307014044865493,OK,154
SN1TP4MMG4,3.4336564903604336,NG,155
SNL8FQ7LY1,1.143196375760649,OK,156
SN994DSNQ4,0.19532016900107063,OK,157
SN4L7BPVXL,0.6312199155038923,OK,158
SN2CS34WRV,0.6195248955757171,OK,159
SNFUECAQ90,1.2918465978252507,OK,160
SNZMTQR2H0,3.5058178117163896,NG,161
SNS4HQ2GC4,0.3512365405833748,OK,162
SNZCVQ05PG,1.0646314346722634,OK,163
SNSVJXBZHL,3.305270010572964,NG,164
SNNSHWT5T6,0.7218978527834716,OK,165
SN7L08HLXZ,0.569069336635737,OK,166
SNSM7QRX3V,3.7164941556093827,NG,167
SN8K78B88N,1.0811774268691818,OK,168
SN58N1XB1Q,1.2563990483996497,OK,169
SN9LCFJFJ6,0.4176893760861865,OK,170
SN7MHH3VGL,0.9878229276523451,OK,171
SNVRDFX1CP,2.9459314607683247,NG,172
SNLTMYMN0U,0.5894984269927774,OK,173
SNH47TFTUX,3.0430227442280264,NG,174
SN7C3K4Q8G,3.775274281247063,NG,175
SNM5W6ZVD3,0.9411807802325134,OK,176
SNVZ79BQ9F,1.0190340069529205,OK,177
SNMCTWQ81H,0.6702403214902946,OK,178
SN5YPPBEP0,1.1981234306041,OK,179
SNVBFS03BE,0.41815261638154794,OK,180
SNAMY6LKCP,1.2036218571835016,OK,181
SNRK4KM5AE,0.21680377115446015,OK,182
SNVHMAV3M3,4.238539120820133,NG,183
SNQFVPBJV1,0.6781393284134503,OK,184
SN4AFE8PMV,4.450999440368186,NG,185
SNZ9046YVY,0.7301984274440004,OK,186
SNRHWAH47E,0.4860566172126715,OK,187
SNX9A1K5TS,0.9160895896563627,OK,188
SN1HM2H0D8,4.091226627622885,NG,189
SNAU6RPE13,2.6320099011713203,NG,190
SNBFJ80NJN,0.973819771752201,OK,191
SN6LD9DUF9,0.34017938933127223,OK,192
SNTNYULAZG,1.1098864199685838,OK,193
SN0WQAMGQW,0.9248709100782787,OK,194
SNU40871LH,4.390661644728631,NG,195
SNPKBJCW1H,3.0635968886592346,NG,196
SNBF3410ME,0.6694530206435745,OK,197
SN9QQYFWYR,1.0448352308172,OK,198
SNQ0LQDWNX,0.4075854435324745,OK,199
